generation method;n;Classic quick sort;Quick sort with randomization;Median of three quick sort;Median of three quick sort with insertion sort;Built-in qsort
Random (max = n/10);10;0.000003;0.000004;0.000005;0.000002;0.000003;
Random (max = n/10);100;0.000008;0.000011;0.000020;0.000007;0.000010;
Random (max = n/10);1000;0.000076;0.000100;0.000158;0.000071;0.000106;
Random (max = n/10);10000;0.000820;0.000956;0.001697;0.000834;0.001222;
Random (max = n/10);100000;0.008210;0.009717;0.016238;0.007864;0.012362;
Random (max = n*10);10;0.000001;0.000001;0.000002;0.000001;0.000001;
Random (max = n*10);100;0.000005;0.000008;0.000011;0.000006;0.000010;
Random (max = n*10);1000;0.000064;0.000068;0.000118;0.000066;0.000103;
Random (max = n*10);10000;0.000872;0.000914;0.001349;0.000855;0.001273;
Random (max = n*10);100000;0.007809;0.009389;0.012153;0.008257;0.017175;
Sorted;10;0.000001;0.000001;0.000002;0.000001;0.000001;
Sorted;100;0.000013;0.000015;0.000021;0.000023;0.000005;
Sorted;1000;0.001074;0.001075;0.000880;0.001191;0.000035;
Sorted;10000;0.082774;0.071017;0.068535;0.069552;0.000472;
Sorted;100000;6.759702;6.612314;6.607027;6.601731;0.003835;
Almost sorted (distValue = .025);10;0.000001;0.000002;0.000002;0.000002;0.000001;
Almost sorted (distValue = .025);100;0.000012;0.000017;0.000021;0.000018;0.000006;
Almost sorted (distValue = .025);1000;0.000752;0.000696;0.001205;0.001176;0.000036;
Almost sorted (distValue = .025);10000;0.070944;0.068788;0.068922;0.068991;0.000333;
Almost sorted (distValue = .025);100000;6.650635;6.580545;6.584737;6.598766;0.004166;
Almost sorted (distValue = .25);10;0.000002;0.000002;0.000003;0.000001;0.000002;
Almost sorted (distValue = .25);100;0.000013;0.000014;0.000021;0.000020;0.000005;
Almost sorted (distValue = .25);1000;0.001119;0.000936;0.000727;0.001164;0.000036;
Almost sorted (distValue = .25);10000;0.074659;0.069032;0.072845;0.068422;0.000390;
Almost sorted (distValue = .25);100000;6.589561;6.620882;6.630162;6.616638;0.003609;
Almost sorted reversed (distValue = .25);10;0.000002;0.000001;0.000002;0.000001;0.000002;
Almost sorted reversed (distValue = .25);100;0.000006;0.000007;0.000010;0.000005;0.000008;
Almost sorted reversed (distValue = .25);1000;0.000057;0.000075;0.000115;0.000065;0.000066;
Almost sorted reversed (distValue = .25);10000;0.000739;0.000927;0.001277;0.000735;0.000934;
Almost sorted reversed (distValue = .25);100000;0.007261;0.008891;0.011885;0.007732;0.008524;
Almost sorted reversed (distValue = .025);10;0.000002;0.000001;0.000003;0.000003;0.000002;
Almost sorted reversed (distValue = .025);100;0.000008;0.000008;0.000011;0.000006;0.000007;
Almost sorted reversed (distValue = .025);1000;0.000108;0.000061;0.000097;0.000046;0.000054;
Almost sorted reversed (distValue = .025);10000;0.001094;0.000760;0.001050;0.000519;0.000431;
Almost sorted reversed (distValue = .025);100000;0.009514;0.006031;0.009740;0.005828;0.007445;
Sorted reversed;10;0.000001;0.000002;0.000002;0.000001;0.000002;
Sorted reversed;100;0.000011;0.000008;0.000021;0.000006;0.000005;
Sorted reversed;1000;0.001010;0.000060;0.000095;0.000040;0.000039;
Sorted reversed;10000;0.078332;0.000671;0.000840;0.000332;0.000451;
Sorted reversed;100000;6.004930;0.005755;0.008089;0.004021;0.003450;